mag_r,u-g,g-r,r-i,i-z,z_spec
17.633848,1.84404,1.257254,0.483162,0.3202,0.205092
17.420422,2.076651,1.411877,0.531651,0.351883,0.210467
17.888365,1.888637,1.296587,0.588253,0.391138,0.210376
18.573612,2.168972,1.600407,0.548944,0.381754,0.280336
17.889429,1.82884,1.551287,0.52117,0.357172,0.26346
17.812401,1.872961,1.604259,0.566151,0.361748,0.296492
19.077822,2.192112,1.810747,0.603226,0.410774,0.369682
18.309399,1.569368,1.416779,0.526941,0.357437,0.311959
17.977947,2.082281,1.463905,0.572556,0.424889,0.218628
18.96706,1.770889,1.702257,0.659349,0.422831,0.385886
18.491985,1.695698,1.527693,0.561768,0.315296,0.308272
17.665552,1.803339,1.394657,0.522961,0.366213,0.214892
18.997036,1.94273,1.73801,0.601929,0.446451,0.364252
17.781519,2.067768,1.394289,0.48769,0.308096,0.249283
19.486973,1.658867,1.899878,0.615227,0.339279,0.374368
17.864708,1.533001,1.457676,0.525816,0.3643,0.249983
17.214096,2.067177,1.338968,0.506193,0.349363,0.222867
17.058413,1.806,1.408453,0.517939,0.300015,0.224665
17.619381,1.758682,1.431067,0.509823,0.341326,0.259209
18.591591,1.92532,1.713186,0.548483,0.331316,0.356755
18.217339,1.838991,1.65951,0.557304,0.380209,0.313892
19.448193,1.343416,1.74844,0.717819,0.455719,0.429052
20.136427,1.051176,1.550047,0.783411,0.386713,0.490466
18.599295,1.563442,1.777779,0.584349,0.348438,0.357889
17.389799,2.062887,1.273974,0.463015,0.342562,0.194477
19.167368,2.13427,1.62418,0.700731,0.316969,0.383083
19.15543,1.194374,1.922545,0.646509,0.375626,0.371488
19.021404,1.834213,1.635416,0.639143,0.371773,0.318149
20.12138,1.570107,1.38018,0.724915,0.449982,0.516113
19.358133,1.699547,1.844961,0.609869,0.442532,0.357949
19.294174,1.466379,1.709185,0.68685,0.378952,0.388572
18.822277,1.254368,1.635683,0.667234,0.391277,0.421094
19.50448,1.982956,1.903587,0.725613,0.390617,0.436592
18.213295,1.853581,1.590366,0.548143,0.376223,0.369906
17.473185,2.084515,1.200014,0.46665,0.322687,0.179147
16.877821,1.82021,1.367235,0.585995,0.466084,0.18102
19.281237,1.966202,1.766274,0.619102,0.343699,0.377352
17.606913,2.058212,1.305647,0.48348,0.353983,0.219513
16.997974,1.448357,1.543228,0.42264,0.321722,0.144777
20.387224,1.024649,1.261398,0.76852,0.255753,0.567346
18.933046,1.914974,1.704821,0.597002,0.348492,0.327724
19.275215,2.063692,1.741871,0.671459,0.424469,0.43402
19.541981,1.506782,1.767565,0.790846,0.398975,0.465185
17.442743,1.730986,1.330456,0.479643,0.327423,0.21248
17.469938,1.923042,1.358378,0.478817,0.310411,0.219886
19.290033,1.508638,1.772661,0.710829,0.392899,0.418706
18.956135,1.885428,1.666338,0.603333,0.348282,0.329423
17.843378,2.117247,1.496445,0.542225,0.32346,0.261302
17.600355,1.989512,1.455313,0.505331,0.359531,0.260466
18.733946,1.572334,1.661964,0.59684,0.412996,0.356399
19.059425,2.034378,1.730177,0.716503,0.398773,0.428232
19.580393,1.652357,1.714596,0.740629,0.434727,0.427778
20.221313,2.094019,1.738239,0.781092,0.374455,0.457955
17.482218,1.973312,1.253164,0.518328,0.361271,0.183468
18.347084,1.875252,1.447546,0.557356,0.402885,0.243728
18.850304,1.997885,1.72805,0.611351,0.458868,0.358399
20.037245,1.675062,1.308222,0.714943,0.411963,0.381506
18.74497,1.459749,1.725979,0.578981,0.362001,0.329693
18.609961,2.03548,1.68178,0.552986,0.321142,0.32966
17.62241,1.99996,1.35627,0.529495,0.38678,0.235657
20.112747,1.092371,1.851858,0.782028,0.294491,0.461965
16.977438,1.797892,1.351126,0.480944,0.345049,0.220548
17.117781,1.984243,1.307888,0.49769,0.333855,0.2187
17.426329,2.001268,1.204098,0.453802,0.317841,0.179705
17.409918,1.952669,1.331823,0.480778,0.316101,0.207191
16.249765,2.18325,1.218512,0.464906,0.338326,0.175003
19.403198,1.746756,1.842596,0.720133,0.428299,0.444361
20.0644,2.039185,1.54493,0.752369,0.437761,0.454814
19.239223,1.594206,1.835298,0.648285,0.395208,0.386053
19.19665,2.101605,1.756962,0.622421,0.411566,0.426028
19.036003,1.300757,1.631906,0.617352,0.379679,0.377492
17.672834,1.75572,1.331068,0.595499,0.474321,0.201156
19.591335,1.367533,1.812513,0.668404,0.373564,0.372718
17.312769,1.887144,1.452698,0.502766,0.311859,0.236579
18.634378,1.60754,1.585737,0.585367,0.289738,0.297103
18.942503,1.892651,1.58066,0.613293,0.331562,0.261997
18.661108,1.926107,1.64756,0.637667,0.400883,0.33931
17.63998,1.932114,1.441113,0.490829,0.355007,0.236993
19.823925,1.546524,1.690666,0.790415,0.451744,0.446242
18.980745,1.46336,1.729269,0.572357,0.333204,0.397071
18.404013,1.61969,1.633854,0.551035,0.39168,0.282017
17.425621,1.93136,1.288702,0.471212,0.354336,0.20371
18.808954,1.549801,1.720922,0.631012,0.317118,0.339796
