mag_r,u-g,g-r,r-i,i-z,z_spec
19.593838,1.78541,1.593983,0.792896,0.481224,0.468239
18.612293,1.516617,1.677416,0.585426,0.285666,0.331971
17.553604,2.19586,1.369286,0.492529,0.32202,0.238888
18.244616,2.003929,1.624327,0.577097,0.321468,0.330795
17.278103,1.924684,1.31015,0.478672,0.362171,0.216446
17.856831,1.702883,1.548021,0.568966,0.383835,0.288395
18.614946,1.744738,1.880987,0.737452,0.48041,0.425094
17.78266,1.859362,1.447882,0.523615,0.414099,0.200411
18.953674,1.462044,1.798716,0.615465,0.378237,0.371178
17.44449,1.904774,1.268198,0.478596,0.375879,0.198338
19.214188,1.471558,1.716757,0.605484,0.323162,0.301463
17.444139,1.872353,1.254778,0.480833,0.382835,0.198806
18.826626,1.950514,1.677404,0.600401,0.446333,0.290135
18.253273,2.111772,1.717772,0.580538,0.425142,0.329421
19.542358,1.65258,1.523411,0.760302,0.426739,0.475393
18.403717,2.003201,1.552542,0.56843,0.308897,0.36597
19.342495,1.850166,1.872047,0.601421,0.397249,0.386742
19.923752,1.326996,1.572781,0.777889,0.405014,0.451044
19.164246,1.848925,1.747879,0.674458,0.398493,0.341975
17.413319,2.068396,1.281996,0.433746,0.363234,0.19809
18.288136,1.635943,1.588335,0.559523,0.378847,0.309003
20.116699,1.354837,1.585981,0.757196,0.379622,0.306517
17.48908,1.853348,1.249283,0.466259,0.34016,0.211824
19.230469,1.169167,1.690151,0.675158,0.450245,0.290632
19.012337,2.07313,1.71188,0.582836,0.375935,0.334742
18.157434,1.692724,1.421513,0.539722,0.306477,0.290835
18.286146,1.690649,1.506826,0.577549,0.31286,0.297091
17.434788,1.939375,1.399626,0.490286,0.324562,0.233614
18.433903,1.746826,1.708788,0.627438,0.401596,0.339947
19.3771,1.100582,1.706863,0.68581,0.393827,0.377963
19.36578,1.90361,1.723026,0.65168,0.459532,0.396628
19.191515,2.062866,1.777739,0.624317,0.400755,0.361267
19.329403,1.376505,1.664608,0.783104,0.471611,0.438328
18.857714,1.960398,1.715122,0.606192,0.371714,0.357573
18.422714,1.706064,1.659393,0.706808,0.478798,0.426344
